"ES","obsES","nsub","corr","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","N11","N12","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
0.5,0.5016,110,0,0.983,0.9626,0.9989,0.9999,0.9999,1,1,1,1,1,1,1,0.9481,0.9687,0.9809,0.9884,0.9934,0.9949,0.9981,0.9991,0.9996,1,0.9997
0.5,0.502,110,0.2,NA,0.9598,0.9966,0.9994,1,0.9996,0.9999,1,1,1,1,1,0.9999,0.9999,1,1,1,1,1,1,1,1,0.9991
0.5,0.5018,110,0.4,NA,0.9636,0.994,0.9988,0.9972,0.9991,0.9997,0.9997,0.9997,0.9996,0.9998,0.9998,0.9994,0.9997,0.9998,0.9999,0.9999,0.9999,0.9999,0.9998,0.9999,0.9999,0.9975
0.5,0.501,110,0.6,NA,0.9665,0.9905,0.9961,0.9928,0.9959,0.997,0.996,0.9971,0.9982,0.997,0.9978,0.9954,0.9972,0.9975,0.9979,0.9981,0.9985,0.9985,0.9985,0.9988,0.9987,0.9954
0.5,0.5008,110,0.8,NA,0.971,0.9865,0.98,0.9875,0.9908,0.9883,0.9904,0.9911,0.9897,0.9907,0.9895,0.9913,0.991,0.9914,0.9918,0.992,0.9924,0.9923,0.9931,0.9931,0.9935,0.9914
0.7,0.7139,20,0,0.7002,0.49,0.7862,0.9168,0.97,0.9904,0.997,0.9894,0.9955,0.9977,0.9991,0.9996,0.8256,0.8702,0.9015,0.9286,0.9433,0.9623,0.9709,0.9793,0.9854,0.9893,0.9105
0.7,0.7157,20,0.2,NA,0.5247,0.7706,0.8736,0.928,0.8683,0.919,0.947,0.9623,0.9714,0.9797,0.9655,0.9163,0.9533,0.969,0.9797,0.9837,0.987,0.99,0.9912,0.992,0.9929,0.8899
0.7,0.7114,20,0.4,NA,0.5317,0.74,0.8344,0.7568,0.8258,0.8661,0.8915,0.9119,0.878,0.8979,0.9128,0.8704,0.8939,0.9087,0.917,0.9246,0.9296,0.9319,0.936,0.9388,0.9403,0.8522
0.7,0.7155,20,0.6,NA,0.5747,0.728,0.7974,0.735,0.7876,0.8226,0.7813,0.8087,0.8322,0.8008,0.821,0.8148,0.8284,0.8379,0.8453,0.8523,0.8538,0.8575,0.8607,0.8615,0.8625,0.8291
0.7,0.7084,20,0.8,NA,0.5985,0.7053,0.6549,0.7098,0.7423,0.71,0.7343,0.7545,0.7317,0.7469,0.729,0.7475,0.7515,0.7588,0.7595,0.7628,0.7639,0.7638,0.7653,0.7659,0.7668,0.7889
0.7,0.7047,50,0,0.9678,0.9348,0.9958,0.9998,1,1,1,1,1,1,1,1,0.9702,0.9834,0.9927,0.9954,0.9977,0.9996,0.9998,0.9998,1,1,0.9987
0.7,0.7059,50,0.2,NA,0.9351,0.9921,0.9987,0.9997,0.9995,0.9998,1,1,1,1,1,0.9996,0.9999,1,1,1,1,1,1,1,1,0.9973
0.7,0.7082,50,0.4,NA,0.9416,0.9878,0.9963,0.9934,0.9967,0.9985,0.9991,0.9996,0.9992,0.9996,0.9997,0.9983,0.9991,0.9995,0.9995,0.9998,0.9998,0.9999,1,1,1,0.9957
0.7,0.7084,50,0.6,NA,0.9426,0.9813,0.9907,0.9857,0.9909,0.9933,0.9909,0.9926,0.9942,0.9921,0.9934,0.9927,0.9941,0.9945,0.9952,0.9955,0.996,0.9958,0.9959,0.9958,0.9958,0.9913
0.7,0.7024,50,0.8,NA,0.9509,0.9761,0.9668,0.9776,0.9836,0.9793,0.9825,0.9849,0.9822,0.9845,0.981,0.9829,0.9849,0.9855,0.9853,0.9865,0.9866,0.9868,0.9865,0.9869,0.9867,0.9862
0.7,0.7033,80,0,0.9968,0.993,0.9999,1,1,1,1,1,1,1,1,1,0.9897,0.9969,0.9991,0.9997,1,1,1,1,1,1,1
0.7,0.7041,80,0.2,NA,0.9953,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7,0.7034,80,0.4,NA,0.9944,0.9998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9999
0.7,0.7045,80,0.6,NA,0.9938,0.9992,0.9995,0.9993,0.9995,0.9997,0.9994,0.9995,0.9996,0.9996,0.9996,0.9996,0.9996,0.9999,0.9998,0.9998,0.9998,0.9999,0.9998,0.9998,0.9998,0.9997
0.7,0.7015,80,0.8,NA,0.9934,0.9972,0.9961,0.9978,0.9984,0.998,0.9984,0.9986,0.9983,0.9988,0.9984,0.9986,0.9989,0.999,0.9988,0.9989,0.999,0.9989,0.9991,0.9991,0.9991,0.9985
0.7,0.7023,110,0,1,0.9997,1,1,1,1,1,1,1,1,1,1,0.9971,0.9992,0.9999,1,1,1,1,1,1,1,1
0.7,0.7032,110,0.2,NA,0.9992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7,0.702,110,0.4,NA,0.9995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7,0.7031,110,0.6,NA,0.9995,0.9999,1,0.9999,0.9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9999
0.7,0.7026,110,0.8,NA,0.9995,0.9997,0.9997,0.9999,1,1,1,1,0.9999,1,1,0.9999,1,1,1,1,1,1,1,1,1,1
