"ES","obsES","nsub","corr","Nvar","power","PC","powerbase","Nvar_gain","PC_gain"
"0.5",0.3769,110,"0.6","N6",0.929,0.964,0.873194241071053,0.0558057589289467,0.0908057589289466
"0.5",0.4324,110,"0.8","N6",0.959,0.972,0.939661153812526,0.0193388461874736,0.0323388461874736
"0.7",-0.0072,20,"0","N6",0.034,0.001,0.0477353058091484,-0.0137353058091484,-0.0467353058091484
"0.7",0.2961,20,"0.2","N6",0.217,0.302,0.234183320335036,-0.0171833203350358,0.0678166796649642
"0.7",0.4415,20,"0.4","N6",0.455,0.518,0.392198038145719,0.0628019618542807,0.125801961854281
"0.7",0.5238,20,"0.6","N6",0.564,0.582,0.492806176498783,0.0711938235012166,0.0891938235012166
"0.7",0.5856,20,"0.8","N6",0.638,0.668,0.569012058499344,0.0689879415006561,0.0989879415006562
"0.7",-0.005,50,"0","N6",0.03,0.006,0.047491182997809,-0.017491182997809,-0.041491182997809
"0.7",0.2942,50,"0.2","N6",0.58,0.686,0.427000835620167,0.152999164379833,0.258999164379834
"0.7",0.4361,50,"0.4","N6",0.839,0.817,0.698661293899504,0.140338706100496,0.118338706100496
"0.7",0.527,50,"0.6","N6",0.931,0.941,0.834446190317094,0.0965538096829056,0.106553809682906
"0.7",0.5949,50,"0.8","N6",0.955,0.958,0.904735036907907,0.0502649630920932,0.0532649630920932
"0.7",-0.006,80,"0","N6",0.028,0.012,0.0462225135242453,-0.0182225135242453,-0.0342225135242453
"0.7",0.3098,80,"0.2","N6",0.798,0.756,0.620233512216192,0.177766487783808,0.135766487783808
"0.7",0.435,80,"0.4","N6",0.959,0.893,0.863136031560365,0.0958639684396346,0.0298639684396347
"0.7",0.5291,80,"0.6","N6",0.992,0.986,0.954206873280354,0.0377931267196459,0.0317931267196458
"0.7",0.6008,80,"0.8","N6",0.997,0.998,0.983765886027315,0.0132341139726855,0.0142341139726855
"0.7",-0.0028,110,"0","N6",0.042,0.014,0.0479010751359831,-0.00590107513598307,-0.0339010751359831
"0.7",0.3133,110,"0.2","N6",0.913,0.786,0.74902403258909,0.16397596741091,0.0369759674109096
"0.7",0.4324,110,"0.4","N6",0.993,0.902,0.939661153812526,0.0533388461874736,-0.0376611538125263
"0.7",0.5137,110,"0.6","N6",0.997,0.997,0.984340181142773,0.0126598188572274,0.0126598188572274
"0.7",0.5911,110,"0.8","N6",1,1,0.996786919673523,0.00321308032647671,0.00321308032647671
"0",0.0044,20,"0","N8",0.053,0.005,0.0514256255454962,0.00157437445450376,-0.0464256255454962
"0",-0.0164,20,"0.2","N8",0.023,0.007,0.044961873300681,-0.021961873300681,-0.037961873300681
"0",5e-04,20,"0.4","N8",0.049,0.01,0.0501603986209764,-0.00116039862097643,-0.0401603986209764
"0",0.0049,20,"0.6","N8",0.029,0.017,0.0515896535300304,-0.0225896535300304,-0.0345896535300304
"0",0.0132,20,"0.8","N8",0.053,0.036,0.0543737322487676,-0.00137373224876763,-0.0183737322487676
"0",-0.0077,50,"0","N8",0.067,0.002,0.0461789517350493,0.0208210482649507,-0.0441789517350493
