"ES","obsES","nsub","corr","Nvar","power","PC","powerbase","Nvar_gain","PC_gain"
"0.7",0.6636,20,"0.4","N2",0.533,0.444,0.661309756476329,-0.128309756476329,-0.217309756476329
"0.7",0.6511,20,"0.6","N2",0.596,0.425,0.646998784480952,-0.0509987844809522,-0.221998784480952
"0.7",0.6594,20,"0.8","N2",0.626,0.401,0.656525970130792,-0.0305259701307918,-0.255525970130792
"0.7",0.6548,50,"0","N2",0.944,0.338,0.945908802728824,-0.00190880272882366,-0.607908802728824
"0.7",0.6639,50,"0.2","N2",0.928,0.482,0.950691722104846,-0.0226917221048458,-0.468691722104846
"0.7",0.6597,50,"0.4","N2",0.937,0.528,0.948527932180291,-0.011527932180291,-0.420527932180291
"0.7",0.6618,50,"0.6","N2",0.948,0.489,0.949619083506318,-0.00161908350631834,-0.460619083506318
"0.7",0.6626,50,"0.8","N2",0.954,0.466,0.950029879826541,0.00397012017345877,-0.484029879826541
"0.7",0.6601,80,"0","N2",0.992,0.355,0.993997882013872,-0.00199788201387152,-0.638997882013872
"0.7",0.6609,80,"0.2","N2",0.995,0.502,0.994083024195344,0.000916975804655551,-0.492083024195344
"0.7",0.659,80,"0.4","N2",0.992,0.494,0.993879038674307,-0.00187903867430683,-0.499879038674307
"0.7",0.6591,80,"0.6","N2",0.992,0.492,0.993889928117923,-0.00188992811792343,-0.501889928117923
"0.7",0.6626,80,"0.8","N2",0.996,0.513,0.994260403473486,0.00173959652651434,-0.481260403473486
"0.7",0.6601,110,"0","N2",0.997,0.402,0.99939246473296,-0.00239246473295962,-0.59739246473296
"0.7",0.6625,110,"0.2","N2",1,0.485,0.999429156441227,0.000570843558773459,-0.514429156441227
"0.7",0.654,110,"0.4","N2",1,0.492,0.999289181537576,0.000710818462424267,-0.507289181537576
"0.7",0.6508,110,"0.6","N2",0.999,0.513,0.999228743746643,-0.000228743746642501,-0.486228743746642
"0.7",0.659,110,"0.8","N2",1,0.535,0.999374930030727,0.000625069969272807,-0.464374930030727
"0",0.0101,20,"0","N4",0.021,0.008,0.0533203055762171,-0.0323203055762171,-0.0453203055762171
"0",-0.011,20,"0.2","N4",0.026,0.016,0.0465735901212763,-0.0205735901212763,-0.0305735901212763
"0",-0.0063,20,"0.4","N4",0.03,0.037,0.0480138195608516,-0.0180138195608516,-0.0110138195608516
"0",0.0053,20,"0.6","N4",0.044,0.045,0.0517211751504409,-0.00772117515044095,-0.00672117515044095
"0",-0.0122,20,"0.8","N4",0.026,0.044,0.0462114821780863,-0.0202114821780864,-0.00221148217808635
"0",-0.0112,50,"0","N4",0.016,0.012,0.0445214244863517,-0.0285214244863517,-0.0325214244863517
"0",0.01,50,"0.2","N4",0.026,0.028,0.0553340219527986,-0.0293340219527986,-0.0273340219527986
"0",0.0089,50,"0.4","N4",0.04,0.041,0.0547261443569442,-0.0147261443569442,-0.0137261443569442
"0",-0.0031,50,"0.6","N4",0.048,0.071,0.0484323866227812,-0.000432386622781153,0.0225676133772188
"0",-0.0043,50,"0.8","N4",0.022,0.049,0.0478362229267827,-0.0258362229267827,0.00116377707321731
"0",-0.0022,80,"0","N4",0.011,0.019,0.0485873026716584,-0.0375873026716585,-0.0295873026716585
"0",-9e-04,80,"0.2","N4",0.025,0.035,0.0494181691856134,-0.0244181691856134,-0.0144181691856134
"0",0.0039,80,"0.4","N4",0.037,0.051,0.0525846494644444,-0.0155846494644444,-0.00158464946444441
"0",-0.0033,80,"0.6","N4",0.048,0.043,0.0478930185324075,0.00010698146759254,-0.00489301853240746
"0",0.0055,80,"0.8","N4",0.038,0.044,0.0536752243376437,-0.0156752243376437,-0.00967522433764371
"0",-0.0057,110,"0","N4",0.009,0.026,0.045802156955662,-0.036802156955662,-0.019802156955662
"0",-0.0034,110,"0.2","N4",0.02,0.031,0.0474606133903381,-0.0274606133903381,-0.0164606133903381
"0",-0.0021,110,"0.4","N4",0.028,0.04,0.0484190764832563,-0.0204190764832563,-0.00841907648325627
